dae|direct|0.003169|-|-|9404|0.00|41
dae|hy2|0.008543|0.002585|0.002835|3066|0.62|56
dae|hy2/udp|0.000312|-|-|1011(85.4%)|0.77|-
dae|tuic|0.082765|0.078843|0.079904|3339|0.66|55
dae|tuic/udp|0.000437|-|-|1087(84.3%)|0.89|-
dae|ss2022|0.005517|0.002302|0.002985|9394|0.38|52
dae|ss2022/udp|0.000376|-|-|2865(50.3%)|1.20|-
dae|trojan|0.007759|0.003332|0.004291|9388|0.42|52
dae|trojan/udp|0.000236|-|-|3010(53.6%)|1.10|-
dae|anytls-sb|0.006615|0.002150|0.003250|5614|0.34|53
dae|anytls-sb/udp|0.000192|-|-|1435(78.0%)|0.61|-
dae|anytls-go|0.008926|0.001681|0.003201|9378|0.54|55
dae|anytls-go/udp|0.000176|-|-|1761(73.4%)|0.69|-
