dae|direct|0.003296|-|-|9405|0.74|40
dae|hy2|0.003521|0.002146|0.002599|3222|0.69|46
dae|hy2/udp|0.000472|-|-|1005(85.5%)|0.85|-
dae|tuic|0.003593|0.001952|0.002532|0|0.00|42
dae|tuic/udp||-|-|0(-)|0.00|-
dae|ss2022|0.003209|0.001818|0.002274|9405|0.70|46
dae|ss2022/udp|0.000261|-|-|1389(76.0%)|1.14|-
dae|trojan|0.003115|0.002127|0.002724|9397|0.44|44
dae|trojan/udp|0.000102|-|-|1885(72.4%)|0.85|-
dae|anytls-sb|0.003392|0.001720|0.002941|0|0.00|45
dae|anytls-sb/udp||-|-|0(-)|0.00|-
dae|anytls-go|0.003376|0.001920|0.002762|0|0.00|43
dae|anytls-go/udp||-|-|0(-)|0.00|-
