dae|direct|0.001394|-|-|9407|0.00|38
dae|hy2|0.007579|0.002031|0.002557|3105|0.45|44
dae|hy2/udp|0.000189|-|-|1021(85.3%)|0.48|-
dae|tuic|0.023038|0.017943|0.018809|3371|0.49|43
dae|tuic/udp|0.000419|-|-|1123(83.7%)|0.54|-
dae|ss2022|0.005237|0.002005|0.003517|9399|0.37|46
dae|ss2022/udp|0.000135|-|-|2725(52.8%)|0.68|-
dae|trojan|0.005812|0.003724|0.004368|9388|0.43|46
dae|trojan/udp|0.000115|-|-|2907(55.8%)|0.62|-
dae|anytls-sb|0.005062|0.002069|0.002565|5600|0.29|50
dae|anytls-sb/udp|0.000344|-|-|1460(77.6%)|0.38|-
dae|anytls-go|0.008571|0.002270|0.002710|9380|0.45|49
dae|anytls-go/udp|0.000089|-|-|1771(73.3%)|0.42|-
